,FilePos,DetectionMode,LE,Dwell,SSNR,SNR_Joy,Mode
85,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_200ns_003.tif,BSD,1.5,200.0,-0.0005277594652729478,0.0001506099016648488,HR
86,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_200ns_004.tif,BSD,1.5,200.0,0.0007137676840334173,0.0013643461744544591,HR
87,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_200ns_005.tif,BSD,1.5,200.0,-0.0002822562441098242,0.0005360523890806944,HR
88,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_200ns_006.tif,BSD,1.5,200.0,-0.0027515411739733042,-0.0020599677959873535,HR
254,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_200ns_.tif,BSD,1.5,200.0,0.0016311942080673436,0.002209488109253775,UHR
255,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_200ns_001.tif,BSD,1.5,200.0,0.0011102468864582216,0.0018823523055151508,UHR
256,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_200ns_002.tif,BSD,1.5,200.0,0.0016079427682721414,0.0024011355300064515,UHR
257,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_200ns_003.tif,BSD,1.5,200.0,0.0014193227314331924,0.002155672390314281,UHR
258,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_200ns_004.tif,BSD,1.5,200.0,0.0032825820339499323,0.0037572954604805503,UHR
94,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_300ns_001.tif,BSD,1.5,300.0,-0.00017581956533235799,0.00040920792466908043,HR
95,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_300ns_002.tif,BSD,1.5,300.0,0.0004207681069515745,0.001055858918016977,HR
96,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_300ns_003.tif,BSD,1.5,300.0,0.001122086078027329,0.0017366660658435621,HR
97,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_300ns_004.tif,BSD,1.5,300.0,0.0001109682559927716,0.0005461325348864295,HR
98,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_300ns_005.tif,BSD,1.5,300.0,0.0015121365096323336,0.0020556878190500956,HR
99,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_300ns_006.tif,BSD,1.5,300.0,0.0007523687137263035,0.0014566179043802648,HR
264,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_300ns_.tif,BSD,1.5,300.0,0.0013550785574734103,0.0018170369039597785,UHR
265,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_300ns_001.tif,BSD,1.5,300.0,0.0015649305485460063,0.0022789534181639334,UHR
266,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_300ns_002.tif,BSD,1.5,300.0,0.0008826636815796318,0.0014994011120747844,UHR
267,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_300ns_003.tif,BSD,1.5,300.0,0.0002536702365183441,-4.9497848701837883e-08,UHR
268,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_300ns_004.tif,BSD,1.5,300.0,0.0003987252803955288,0.0010242124663455995,UHR
106,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_500ns_001.tif,BSD,1.5,500.0,0.0007558577862282201,0.00134554054972617,HR
107,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_500ns_002.tif,BSD,1.5,500.0,0.0036429558881462265,0.003282734409078644,HR
108,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_500ns_003.tif,BSD,1.5,500.0,0.0010483593008768777,0.0017709408080486932,HR
109,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_500ns_004.tif,BSD,1.5,500.0,-0.00021597677794032988,0.00036892904111229786,HR
110,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_500ns_005.tif,BSD,1.5,500.0,0.0035996063657421917,0.003748481226304275,HR
111,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_500ns_006.tif,BSD,1.5,500.0,-0.0009732501883567002,-0.0003502552329408816,HR
274,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_500ns_.tif,BSD,1.5,500.0,0.0023876713187284127,0.0031252026479787944,UHR
275,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_500ns_001.tif,BSD,1.5,500.0,0.01118235925114075,0.011157941608934609,UHR
276,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_500ns_002.tif,BSD,1.5,500.0,0.002441134123986388,0.0028049956240608635,UHR
277,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_500ns_003.tif,BSD,1.5,500.0,0.004063212242596204,0.004425189105308182,UHR
278,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_500ns_004.tif,BSD,1.5,500.0,0.006759966738328904,0.007192334064124225,UHR
70,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_1000ns_002.tif,BSD,1.5,1000.0,0.03330299070993725,0.02139687458683737,HR
71,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_1000ns_003.tif,BSD,1.5,1000.0,0.03642584941464666,0.023423284770440984,HR
72,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_1000ns_004.tif,BSD,1.5,1000.0,0.03443700137579209,0.03421729219037802,HR
73,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_1000ns_005.tif,BSD,1.5,1000.0,0.04631582700825787,0.044537340397545505,HR
74,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_1000ns_006.tif,BSD,1.5,1000.0,0.06283491131229557,0.041581778347753645,HR
75,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_1000ns_007.tif,BSD,1.5,1000.0,0.043301727336682694,0.04228364943555388,HR
249,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_1000ns_.tif,BSD,1.5,1000.0,0.05134091210804892,0.0478208624223201,UHR
250,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_1000ns_001.tif,BSD,1.5,1000.0,0.05105187516512577,0.05015232983164945,UHR
251,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_1000ns_002.tif,BSD,1.5,1000.0,0.034116908444150607,0.03290548007649486,UHR
252,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_1000ns_003.tif,BSD,1.5,1000.0,0.0251842065439567,0.02469635812341041,UHR
253,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_1000ns_004.tif,BSD,1.5,1000.0,0.017649148309969664,0.016710393011504406,UHR
89,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_3000ns_001.tif,BSD,1.5,3000.0,1.120828603802577,1.0476298559372357,HR
90,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_3000ns_002.tif,BSD,1.5,3000.0,0.5762517096992019,0.5676559394456117,HR
91,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_3000ns_003.tif,BSD,1.5,3000.0,0.06857114150812649,0.06506128646545882,HR
92,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_3000ns_005.tif,BSD,1.5,3000.0,0.3373242143799987,0.31198443351228405,HR
93,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_3000ns_006.tif,BSD,1.5,3000.0,0.2114380850995451,0.18055998153252675,HR
259,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_3000ns_.tif,BSD,1.5,3000.0,0.21523797496247532,0.19521252177391502,UHR
260,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_3000ns_001.tif,BSD,1.5,3000.0,0.24158087981240262,0.20296844095191185,UHR
261,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_3000ns_002.tif,BSD,1.5,3000.0,0.3258249373631418,0.3065141614563721,UHR
262,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_3000ns_003.tif,BSD,1.5,3000.0,0.6261834503186077,0.5918481390213222,UHR
