,DetectionMode,LE,Dwell,SSNR (normal),SSNR (horizontal split),SSNR (vertical split),SNR (Joy),"SNR (Joy, horizontal split)"
190,OSTEM,4,300.0,0.9634491462345196,3.946816500190776,0.5085380023451336,0.468426193159765,3.7863337724363357
191,OSTEM,4,300.0,0.5819108937235198,2.98776023664875,0.21519263079225004,0.18128311290563281,2.8588484711402318
192,OSTEM,4,300.0,0.6330400315748999,3.12207493019136,0.25448665092813016,0.23445723840180197,3.0349637291999323
193,OSTEM,4,300.0,0.609130198221855,3.0596763339792434,0.23629490444897672,0.22179266315521018,2.9884797842039497
199,OSTEM,4,500.0,0.5094938134078706,1.5869409033471435,0.24915128437277823,0.2236239587175299,1.5294913760685425
200,OSTEM,4,500.0,0.5086217371723101,1.5832150186595193,0.24870474673987764,0.21168575684145824,1.5022824339442293
201,OSTEM,4,500.0,0.5458743931294715,1.6422274482500252,0.279909695040956,0.24790274454193745,1.5715206028232507
202,OSTEM,4,500.0,0.48458780824751835,1.5476731812714113,0.22828824068376707,0.2072624363930672,1.498541565632949
203,OSTEM,4,500.0,0.4933106271918829,1.5673970528519257,0.2351955987322314,0.21118716804382784,1.5130193290828
169,OSTEM,4,1000.0,0.3978041131510729,0.772184153399357,0.2654144954551583,0.2106653272109695,0.6955411086424619
170,OSTEM,4,1000.0,0.5292939350728226,0.9389415533563772,0.3841200107575098,0.2973047649809884,0.817675442292904
171,OSTEM,4,1000.0,0.4033000138775493,0.7767450504670022,0.2703030324542083,0.21202857938350106,0.6954735322058354
172,OSTEM,4,1000.0,0.5366746724452467,0.953740857637362,0.3882258346975572,0.28985467443297236,0.8150439434937349
173,OSTEM,4,1000.0,0.7101450743434058,1.1650334659912664,0.5467857047988325,0.4126311754796585,0.9771034988695573
184,OSTEM,4,3000.0,0.7272353004599591,0.8222335002068935,0.6831581930852577,0.5731667950246672,0.7037998663488185
185,OSTEM,4,3000.0,0.9732694482758883,1.0821526285881022,0.9198818119037975,0.815986382668257,0.9701432459163719
186,OSTEM,4,3000.0,0.580906048009413,0.6711629653022695,0.5387019981091525,0.4256167721258624,0.5497995040308566
187,OSTEM,4,3000.0,0.7530354701163433,0.8527251553221136,0.7049880658179204,0.6332714162551735,0.7754163211451107
188,OSTEM,4,3000.0,0.9754349248858796,1.085329429486823,0.9243224670345846,0.6940251474727385,0.8371040624536408
194,OSTEM,4,5000.0,0.8766515326996689,0.9144517699908805,0.858539864187823,0.5560313407306927,0.6044708150303952
195,OSTEM,4,5000.0,1.5802951128897738,1.6389273815848941,1.5530470887355827,1.1791474196496579,1.2541044711139344
196,OSTEM,4,5000.0,2.3422848100615505,2.418285574545955,2.3037707098078823,1.6401884207364397,1.7346125067699263
197,OSTEM,4,5000.0,0.7989323432329094,0.8352082166775547,0.7833284773723805,0.5150501838625557,0.5590070508786487
198,OSTEM,4,5000.0,1.2844974826562408,1.3329393147886355,1.2623938141534556,0.7132809869195118,0.7686856397350079
164,OSTEM,4,10000.0,1.6090513391247097,1.6584147636475715,1.5851385796800348,1.3490206738025876,1.4153034530896944
165,OSTEM,4,10000.0,3.3804021563665203,3.4578550638940357,3.3430427086478995,3.064007898899596,3.165736404661498
166,OSTEM,4,10000.0,2.7319978039817587,2.7919015188869287,2.7000162256179783,2.3486463449860526,2.4282153078097326
167,OSTEM,4,10000.0,1.3746816698566797,1.4098843093129394,1.3561103502008547,1.2448277327944903,1.2949978233425685
168,OSTEM,4,10000.0,1.452786748575393,1.4974338107583014,1.4322007790449223,1.2576179841394994,1.318127292138981
214,SE,1.5,100.0,0.5352451105813127,1.4889899996498255,0.3052443502422738,14.66705669895445,1.211735303597585
215,SE,1.5,100.0,0.6378530184787621,1.661795466438007,0.39152205471768486,14.721577583681094,1.323876268144144
216,SE,1.5,100.0,0.5920669645169598,1.5808493295532093,0.3542097974670353,14.666158615445873,1.2194590189078423
217,SE,1.5,100.0,0.5305987608218407,1.4855118046487885,0.3013378621252546,14.652622769680507,1.1916144322769913
218,SE,1.5,100.0,0.5668199461136796,1.5388241793349393,0.3306956613676464,14.66660268383549,1.220571102973062
219,SE,1.5,200.0,0.43116676075269167,0.7282229517901002,0.33865483234888716,14.66194979063868,0.5647630213005423
220,SE,1.5,200.0,0.467723756811099,0.7720359655146418,0.37387428339773177,14.685740842476802,0.6060421964719931
221,SE,1.5,200.0,0.4397770192880497,0.7400160144533177,0.3461609802060668,14.649029779090176,0.5710689439378942
222,SE,1.5,200.0,0.43403360973968896,0.7333949706217808,0.3423257932102367,14.652773228208686,0.567286977380875
223,SE,1.5,200.0,0.41684407690612757,0.7108045176110112,0.32636172284315257,14.65539211385948,0.5606889865358331
229,SE,1.5,300.0,0.5227104920617499,0.7097075355341007,0.46282613375475756,14.760911722754779,0.5634757582116581
230,SE,1.5,300.0,0.36287672552597583,0.5302389685506157,0.30968423614348295,14.649649104789514,0.43653528347167797
231,SE,1.5,300.0,0.44828224234667136,0.6263051695517021,0.39258831986879505,14.676999034250592,0.466566330356937
232,SE,1.5,300.0,0.40916202900964327,0.5805851414989915,0.35465231984384593,14.686098613474954,0.4726828507927786
233,SE,1.5,300.0,0.3703800284887314,0.5355891169965499,0.31837491767501525,14.658944900159383,0.44512801044160183
239,SE,1.5,500.0,0.7654386857363715,1.0221467430174305,0.6962504786123549,14.71131936576216,0.5245257539587715
240,SE,1.5,500.0,0.8730302852397358,1.1349255015751065,0.8021795793596451,14.745438853102181,0.5638112872254281
241,SE,1.5,500.0,0.7614799080082493,1.011604849906619,0.6939213380436011,14.734264888619911,0.5449881052548684
242,SE,1.5,500.0,0.6548177096358534,0.8904744738615584,0.5921628063950661,14.658167429121324,0.46265190066040596
243,SE,1.5,500.0,0.8956506922015768,1.165861350335563,0.8221989039163844,14.743003972184162,0.5614946865238758
209,SE,1.5,1000.0,0.4229984816888035,0.5176397421059942,0.39483324960524435,15.094777636287933,0.4504432914749507
210,SE,1.5,1000.0,0.42839339146451016,0.5224469366661719,0.399921310968529,15.10859148898726,0.46125502598533646
211,SE,1.5,1000.0,0.5635871428318086,0.6661543943589923,0.5341603531617309,15.166112451556693,0.5218605302219075
212,SE,1.5,1000.0,0.40453340899698353,0.49657997738282356,0.3770675469611273,15.102875873933398,0.4588428707511633
213,SE,1.5,1000.0,0.5512398148484977,0.6528676121983761,0.5208212006924273,15.20440209676704,0.5743103440279013
224,SE,1.5,3000.0,2.734175454360029,3.0206701427125835,2.6848207779650517,16.930031752593464,2.4293542188908885
225,SE,1.5,3000.0,1.0819378030663187,1.2357302146748201,1.055521695559599,15.51176296774774,0.9000383213898919
